Interval=	0.0025 s
ExcelDateTime=	4.4621650142538019e+004	3/1/2022 15:36:12.315285
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	200.0 µV
3.1325	26.0
3.135	26.6
3.1375	19.5
3.14	12.0
3.1425	10.8
3.145	13.8
3.1475	17.3
3.15	18.2
3.1525	12.3
3.155	5.0
3.1575	3.2
3.16	4.7
3.1625	9.3
3.165	15.2
3.1675	15.3
3.17	12.2
3.1725	8.5
3.175	7.8
3.1775	12.8
3.18	20.4
3.1825	24.4
3.185	20.8
3.1875	13.7
3.19	8.2
3.1925	8.0
3.195	11.1
3.1975	19.1
3.2	25.0
3.2025	22.2
3.205	18.5
3.2075	17.5
3.21	21.2
3.2125	30.7
3.215	42.5
3.2175	44.2
3.22	33.5
3.2225	21.3
3.225	15.1
3.2275	15.1
3.23	19.8
3.2325	25.5
3.235	25.4
3.2375	20.3
3.24	14.7
3.2425	13.8
3.245	20.2
3.2475	30.9
3.25	36.0
3.2525	32.5
3.255	27.6
3.2575	25.4
3.26	26.6
3.2625	29.2
3.265	34.5
3.2675	37.5
3.27	30.8
3.2725	23.3
3.275	24.5
3.2775	27.7
3.28	30.7
3.2825	33.4
3.285	30.8
3.2875	26.1
3.29	23.9
3.2925	25.4
3.295	29.4
3.2975	33.8
3.3	34.0
3.3025	28.0
3.305	20.3
3.3075	14.9
3.31	14.2
3.3125	15.2
3.315	17.5
3.3175	17.7
3.32	11.5
3.3225	4.6
3.325	1.8
3.3275	1.7
3.33	3.8
3.3325	8.3
3.335	8.1
3.3375	2.5
3.34	0.3
3.3425	1.6
3.345	3.8
3.3475	6.8
3.35	8.1
3.3525	3.5
3.355	-5.6
3.3575	-9.5
3.36	-7.6
3.3625	-3.2
3.365	1.0
3.3675	0.6
3.37	-1.0
3.3725	-1.8
3.375	-1.1
3.3775	0.9
3.38	4.5
3.3825	10.9
3.385	14.5
3.3875	12.3
3.39	8.5
3.3925	8.5
3.395	13.5
3.3975	19.6
3.4	23.0
3.4025	20.9
3.405	17.1
3.4075	15.1
3.41	12.9
3.4125	14.1
3.415	17.0
3.4175	15.9
3.42	11.9
3.4225	9.3
3.425	10.6
3.4275	13.9
3.43	19.6
3.4325	22.9
3.435	21.5
3.4375	18.9
3.44	16.4
3.4425	17.5
3.445	21.1
3.4475	23.8
3.45	25.5
3.4525	26.4
3.455	25.8
3.4575	22.5
3.46	21.9
3.4625	27.0
3.465	32.2
3.4675	30.6
3.47	25.2
3.4725	21.2
3.475	18.6
3.4775	20.0
3.48	25.5
3.4825	30.3
3.485	27.9
3.4875	22.3
3.49	19.8
3.4925	18.8
3.495	19.5
3.4975	21.7
3.5	22.0
3.5025	19.2
3.505	13.4
3.5075	10.0
3.51	14.0
3.5125	18.1
3.515	18.7
3.5175	19.0
3.52	17.6
3.5225	15.5
3.525	16.4
3.5275	21.8
3.53	28.2
3.5325	27.1
3.535	18.8
3.5375	11.9
3.54	7.7
3.5425	6.3
3.545	9.3
3.5475	16.1
3.55	19.8
3.5525	16.8
3.555	12.0
3.5575	8.3
3.56	8.7
3.5625	10.5
3.565	11.9
3.5675	11.8
3.57	5.7
3.5725	-0.0
3.575	2.1
3.5775	7.1
3.58	10.4
3.5825	12.7
3.585	11.5
3.5875	5.8
3.59	0.6
3.5925	-0.5
3.595	0.6
3.5975	3.6
3.6	11.2
3.6025	13.7
3.605	5.7
3.6075	-1.4
3.61	-0.2
3.6125	5.9
3.615	12.1
3.6175	14.9
3.62	12.7
3.6225	9.5
3.625	6.7
3.6275	4.2
3.63	7.1
3.6325	12.8
3.635	14.1
3.6375	13.1
3.64	10.8
3.6425	8.2
3.645	10.9
3.6475	16.0
3.65	17.4
3.6525	14.5
3.655	10.5
3.6575	9.5
3.66	13.9
3.6625	19.6
3.665	19.6
3.6675	17.0
3.67	14.4
3.6725	11.6
3.675	12.6
3.6775	17.7
